Unicode,Char
U+554F,問
U+76EE,目
U+5927,大
U+80E4,胤
U+4E4B,之
U+5148,先
U+89AA,親
U+5916,外
U+7956,祖
U+8003,考
U+59A3,妣
U+5404,各
U+846C,葬
U+58B3,墳
U+5728,在
U+9060,遠
U+800C,而
U+7121,無
U+76F4,直
U+5B6B,孫
U+4EE5,以
U+88D4,裔
U+5949,奉
U+7940,祀
U+4E16,世
U+4EE3,代
U+6F38,漸
U+964D,降
U+6B98,殘
U+8AA0,誠
U+8584,薄
U+9053,道
U+4E14,且
U+5DE6,左
U+81F3,至
U+65BC,於
U+6625,春
U+79CB,秋
U+5960,奠
U+6383,掃
U+7BC0,節
U+6216,或
U+4E0D,不
U+5F97,得
U+6642,時
U+60C5,情
U+F9B6,禮
U+4FF1,俱
U+95D5,闕
U+82E5,若
U+7ADD,竝
U+796D,祭
U+6BCD,母
U+5893,墓
U+5247,則
U+4E8B,事
U+6D89,涉
U+672A,未
U+5B89,安
U+5207,切
U+6B32,欲
U+4E0B,下
U+9918,餘
U+7A74,穴
U+5225,別
U+9020,造
U+4E00,一
U+58C7,壇
U+6709,有
U+6545,故
U+80FD,能
U+5F80,往
U+7D19,紙
U+699C,榜
U+5408,合
U+8A2D,設
U+671B,望
U+4F3C,似
U+6108,愈
U+904E,過
U+53EF,可
U+6DFA,淺
U+616E,慮
U+81C6,臆
U+884C,行
U+6562,敢
U+6B64,此
U+4EF0,仰
U+7980,禀
U+8F9B,辛
U+6B63,正
U+6708,月
U+4E8C,二
U+5341,十
U+56DB,四
U+65E5,日
U+8D99,趙
U+4E0A,上
U+845B,葛
U+83F4,菴
U+F9E1,李
U+751F,生
U+5E74,年
U+8B5C,譜
U+4E2D,中
U+7576,當
U+6DFB,添
U+88DC,補
U+8C50,豐
U+58E4,壤
U+5553,啓
U+5B9A,定
U+F90F,羅
U+54E1,員
U+57F7,執
U+4F0F,伏
U+627F,承
U+5C0A,尊
U+6148,慈
U+F967,不
U+9119,鄙
U+5BD2,寒
U+5FAE,微
U+66F2,曲
U+5F9E,從
U+5A92,媒
U+8B70,議
U+8A31,許
U+4EE4,令
U+59EA,姪
U+5973,女
U+8CBA,貺
U+5BA4,室
U+50D5,僕
U+5B50,子
U+7023,瀣
U+9577,長
U+7FB2,羲
U+7D93,經
U+7386,玆
U+7528,用
U+4EBA,人
U+5178,典
U+8B39,謹
U+5C08,專
U+7D0D,納
U+5FB5,徵
U+60DF,惟
U+4FEF,俯
U+8CDC,賜
U+9451,鑑
U+F9A3,念
U+5BA3,宣
U+58EC,壬
U+5348,午
U+F9D1,六
U+5FDD,忝
U+9055,違
U+5019,候
U+5E8A,床
U+4ECA,今
U+5E7E,幾
U+7B87,箇
U+591C,夜
U+56AE,嚮
U+6155,慕
U+6240,所
U+96E3,難
U+8010,耐
U+8005,者
U+4F86,來
U+971C,霜
U+5A01,威
U+5FFD,忽
U+7DCA,緊
U+5BE9,審
U+6C23,氣
U+9AD4,體
U+4F55,何
U+6DF5,淵
U+8207,與
U+5F66,彦
U+5149,光
U+53C3,參
U+662F,是
U+5BB6,家
U+5E78,幸
U+8AF8,諸
