image_id,a,b,c,d,true_label,extra_info,just_label,unicode
S04_001-1,1687,456,173,181,트일_소_疏,,疏,U+758F
S04_001-1,1693,651,153,124,위_상_上,,上,U+4E0A
S04_001-1,1337,488,208,226,후박나무_박_朴,,朴,U+6734
S04_001-1,1379,819,108,133,날_생_生,,生,U+751F
S04_001-1,1353,955,152,211,수효_원_員,,員,U+54E1
S04_001-1,1350,1238,165,167,슬플_애_哀,,哀,U+54C0
S04_001-1,1329,1420,203,202,앞_전_前,,前,U+524D
S04_001-1,1561,2811,121,95,살필_성_省,,省,U+F96D
S04_001-1,1553,2910,145,108,법_식_式,,式,U+5F0F
S04_001-1,1548,3019,106,85,삼갈_근_謹,,謹,U+8B39
S04_001-1,1553,3097,108,87,봉할_봉_封,,封,U+5C01
S04_001-2,4157,950,81,93,살필_성_省,,省,U+7701
S04_001-2,4155,1043,101,88,법_식_式,,式,U+5F0F
S04_001-2,4088,1137,179,220,조심할_인_夤,,夤,U+5924
S04_001-2,4086,1368,163,136,가선_연_緣,,緣,U+7DE3
S04_001-2,4081,1518,168,75,한_일_一,,一,U+4E00
S04_001-2,1596,1881,173,55,한_일_一,,一,U+4E00
S04_001-2,4088,1614,153,143,갈_행_行,,行,U+884C
S04_001-2,4067,1767,176,146,믿을_신_信,,信,U+4FE1
S04_001-2,4070,1925,168,156,묵을_숙_宿,,宿,U+5BBF
S04_001-2,3567,2179,135,127,묵을_숙_宿,,宿,U+5BBF
S04_001-2,3826,966,187,195,오두막집_려_廬,,廬,U+5EEC
S04_001-2,3833,1185,162,126,아래_하_下,,下,U+4E0B
S04_001-2,4805,1070,112,99,아래_하_下,,下,U+4E0B
S04_001-2,3834,1317,145,158,얻을_득_得,,得,U+5F97
S04_001-2,2588,3162,131,105,얻을_득_得,,得,U+5F97
S04_001-2,3806,1486,191,173,줄_여_與,,與,U+8207
S04_001-2,3573,969,184,158,다_첨_僉,,僉,U+50C9
S04_001-2,3564,1146,207,140,잡을_집_執,,執,U+57F7
S04_001-2,3592,1287,135,188,일_사_事,,事,U+4E8B
S04_001-2,3559,1484,169,204,받들_봉_奉,,奉,U+5949
S04_001-2,3563,1704,144,139,좇을_종_從,,從,U+5F9E
S04_001-2,3555,1852,176,160,얼굴_용_容,,容,U+5BB9
S04_001-2,1278,732,108,133,얼굴_용_容,,容,U+5BB9
S04_001-2,3550,2026,181,143,이를_수_遂,,遂,U+9042
S04_001-2,3545,2322,182,149,원할_원_願,,願,U+9858
S04_001-2,3556,2476,172,213,열매_실_實,,實,U+5BE6
S04_001-2,3533,2692,182,124,사사_사_私,,私,U+79C1
S04_001-2,3568,2823,150,86,마음_심_心,,心,U+5FC3
S04_001-2,3572,2916,144,135,바_소_所,,所,U+6240
S04_001-2,3558,3070,168,157,기뻐할_흔_忻,,忻,U+5FFB
S04_001-2,3574,3236,123,179,다행_행_幸,,幸,U+5E78
S04_001-2,1085,1146,142,255,다행_행_幸,,幸,U+5E78
S04_001-2,3352,1092,139,102,말 이을_이_而,,而,U+800C
S04_001-2,1852,723,88,146,말_이을_이_而,,而,U+800C
S04_001-2,3334,1209,171,163,생각할_유_惟,,惟,U+60DF
S04_001-2,603,1767,149,136,생각할_유_惟,,惟,U+60DF
S04_001-2,3313,1383,206,190,옳을_시_是,,是,U+662F
S04_001-2,2128,1564,156,156,옳을_시_是,,是,U+662F
S04_001-2,1317,3254,158,178,옳을_시_是,,是,U+662F
S04_001-2,3103,990,146,147,슬플_애_哀,,哀,U+54C0
S04_001-2,4797,899,139,154,슬플_애_哀,,哀,U+54C0
S04_001-2,3102,1139,149,151,역사_사_史,,史,U+53F2
S04_001-2,3092,1295,146,147,모_방_方,,方,U+65B9
S04_001-2,2589,1566,126,129,모_방_方,,方,U+65B9
S04_001-2,2120,1244,156,148,모_방_方,,方,U+65B9
S04_001-2,3066,1456,204,181,의젓할_엄_儼,,儼,U+513C
S04_001-2,3091,1646,133,129,그러할_연_然,,然,U+7136
S04_001-2,3070,1786,154,140,있을_재_在,,在,U+5728
S04_001-2,1083,2904,123,129,있을_재_在,,在,U+5728
S04_001-2,3081,1930,148,136,오랜 병_구_疚,,疚,U+759A
S04_001-2,3103,2072,131,239,가운데_중_中,,中,U+4E2D
S04_001-2,1095,3182,126,130,가운데_중_中,,中,U+4E2D
S04_001-2,3091,2328,129,165,아닐_미_未,,未,U+672A
S04_001-2,1505,744,119,126,아닐_미_未,,未,U+672A
S04_001-2,3091,2497,156,150,이길_극_克,,克,U+514B
S04_001-2,3084,2653,142,194,다될_진_盡,,盡,U+76E1
S04_001-2,3081,2858,144,144,제비_연_燕,,燕,U+71D5
S04_001-2,3058,3011,188,177,말씀_담_談,,談,U+8AC7
S04_001-2,3074,3190,146,92,같을_여_如,,如,U+5982
S04_001-2,3098,3294,125,89,평평할_평_平,,平,U+5E73
S04_001-2,2837,1073,148,154,때_시_時,,時,U+6642
S04_001-2,2856,1237,106,121,스스로_자_自,,自,U+81EA
S04_001-2,2840,1361,140,147,집_가_家,,家,U+5BB6
S04_001-2,851,1306,133,153,집_가_家,,家,U+5BB6
S04_001-2,2832,1523,131,124,이에_내_乃,,乃,U+4E43
S04_001-2,2804,1662,168,154,감히_감_敢,,敢,U+6562
S04_001-2,2821,1830,158,200,밟을_섭_躡,,躡,U+8EA1
